"id_cheptel","id_commune","id_volume","ra_3010_dim2_mod","ra_3010_dim3_mod","n118_mod","n027_mod","valeur","volume"
3,5,1,1,1,0.12,40,366,153399
4,5,1,2,1,0,40,475,153399
5,5,1,2,1,0.11,40,241,153399
6,5,1,2,1,0.12,40,234,153399
7,5,1,4,1,0,40,475,153399
8,5,1,4,1,0.11,40,241,153399
9,5,1,4,1,0.12,40,234,153399
10,5,1,5,1,0,40,42,153399
11,5,1,5,1,0.11,40,32,153399
12,5,1,5,1,0.12,40,10,153399
13,5,1,6,1,0,40,225,153399
14,5,1,6,1,0.11,40,103,153399
15,5,1,6,1,0.12,40,122,153399
16,5,1,7,1,0,40,78,153399
17,5,1,7,1,0.11,40,56,153399
18,5,1,7,1,0.12,40,22,153399
19,5,1,8,1,0,40,400,153399
20,5,1,10,1,0,40,2325,153399
21,5,1,10,1,0.11,40,857,153399
22,5,1,10,1,0.12,40,1468,153399
23,5,1,11,1,0,40,2039,153399
24,5,1,11,1,0.11,40,738,153399
25,5,1,11,1,0.12,40,1301,153399
26,5,1,1,1,0,40,609,153399
27,5,1,1,1,0.11,40,285,153399
28,5,1,1,1,0.12,40,324,153399
29,5,1,2,1,0,40,403,153399
30,5,1,2,1,0.11,40,200,153399
31,5,1,2,1,0.12,40,203,153399
32,5,1,4,1,0,40,403,153399
33,5,1,4,1,0.11,40,200,153399
34,5,1,4,1,0.12,40,203,153399
35,5,1,5,1,0,40,31,153399
36,5,1,5,1,0.11,40,17,153399
37,5,1,5,1,0.12,40,14,153399
38,5,1,6,1,0,40,175,153399
39,5,1,6,1,0.11,40,68,153399
40,5,1,6,1,0.12,40,107,153399
41,5,1,7,1,0,40,31,153399
42,5,1,7,1,0.11,40,17,153399
43,5,1,7,1,0.12,40,14,153399
44,5,1,10,1,0.11,40,733,153399
45,5,1,11,1,0,40,1125,153399
46,5,1,12,1,0,40,99,153399
47,5,1,12,1,0.11,40,26,153399
48,5,1,12,1,0.12,40,73,153399
49,5,1,1,1,0,40,979,153399
50,5,1,1,1,0.11,40,294,153399
1,6,1,1,1,0,40,742,153399
2,6,1,1,1,0.11,40,376,153399
3,6,1,1,1,0.12,40,366,153399
4,6,1,2,1,0,40,475,153399
5,6,1,2,1,0.11,40,241,153399
6,6,1,2,1,0.12,40,234,153399
7,6,1,4,1,0,40,475,153399
8,6,1,4,1,0.11,40,241,153399
9,6,1,4,1,0.12,40,234,153399
10,6,1,5,1,0,40,42,153399
11,6,1,5,1,0.11,40,32,153399
12,6,1,5,1,0.12,40,10,153399
13,6,1,6,1,0,40,225,153399
14,6,1,6,1,0.11,40,103,153399
15,6,1,6,1,0.12,40,122,153399
16,6,1,7,1,0,40,78,153399
17,6,1,7,1,0.11,40,56,153399
18,6,1,7,1,0.12,40,22,153399
19,6,1,8,1,0,40,400,153399
20,6,1,10,1,0,40,2325,153399
21,6,1,10,1,0.11,40,857,153399
22,6,1,10,1,0.12,40,1468,153399
23,6,1,11,1,0,40,2039,153399
24,6,1,11,1,0.11,40,738,153399
25,6,1,11,1,0.12,40,1301,153399
26,6,1,1,1,0,40,609,153399
27,6,1,1,1,0.11,40,285,153399
28,6,1,1,1,0.12,40,324,153399
29,6,1,2,1,0,40,403,153399
30,6,1,2,1,0.11,40,200,153399
31,6,1,2,1,0.12,40,203,153399
32,6,1,4,1,0,40,403,153399
33,6,1,4,1,0.11,40,200,153399
34,6,1,4,1,0.12,40,203,153399
35,6,1,5,1,0,40,31,153399
36,6,1,5,1,0.11,40,17,153399
37,6,1,5,1,0.12,40,14,153399
38,6,1,6,1,0,40,175,153399
39,6,1,6,1,0.11,40,68,153399
40,6,1,6,1,0.12,40,107,153399
41,6,1,7,1,0,40,31,153399
42,6,1,7,1,0.11,40,17,153399
43,6,1,7,1,0.12,40,14,153399
44,6,1,10,1,0.11,40,733,153399
45,6,1,11,1,0,40,1125,153399
46,6,1,12,1,0,40,99,153399
47,6,1,12,1,0.11,40,26,153399
48,6,1,12,1,0.12,40,73,153399
49,6,1,1,1,0,40,979,153399
50,6,1,1,1,0.11,40,294,153399
1,7,1,1,1,0,40,742,153399
2,7,1,1,1,0.11,40,376,153399
3,7,1,1,1,0.12,40,366,153399
4,7,1,2,1,0,40,475,153399
5,7,1,2,1,0.11,40,241,153399
6,7,1,2,1,0.12,40,234,153399
7,7,1,4,1,0,40,475,153399
8,7,1,4,1,0.11,40,241,153399
9,7,1,4,1,0.12,40,234,153399
10,7,1,5,1,0,40,42,153399
11,7,1,5,1,0.11,40,32,153399
12,7,1,5,1,0.12,40,10,153399
13,7,1,6,1,0,40,225,153399
14,7,1,6,1,0.11,40,103,153399
15,7,1,6,1,0.12,40,122,153399
16,7,1,7,1,0,40,78,153399
17,7,1,7,1,0.11,40,56,153399
18,7,1,7,1,0.12,40,22,153399
19,7,1,8,1,0,40,400,153399
20,7,1,10,1,0,40,2325,153399
21,7,1,10,1,0.11,40,857,153399
22,7,1,10,1,0.12,40,1468,153399
23,7,1,11,1,0,40,2039,153399
24,7,1,11,1,0.11,40,738,153399
25,7,1,11,1,0.12,40,1301,153399
26,7,1,1,1,0,40,609,153399
27,7,1,1,1,0.11,40,285,153399
28,7,1,1,1,0.12,40,324,153399
29,7,1,2,1,0,40,403,153399
30,7,1,2,1,0.11,40,200,153399
31,7,1,2,1,0.12,40,203,153399
32,7,1,4,1,0,40,403,153399
33,7,1,4,1,0.11,40,200,153399
34,7,1,4,1,0.12,40,203,153399
35,7,1,5,1,0,40,31,153399
36,7,1,5,1,0.11,40,17,153399
37,7,1,5,1,0.12,40,14,153399
38,7,1,6,1,0,40,175,153399
39,7,1,6,1,0.11,40,68,153399
40,7,1,6,1,0.12,40,107,153399
41,7,1,7,1,0,40,31,153399
42,7,1,7,1,0.11,40,17,153399
43,7,1,7,1,0.12,40,14,153399
44,7,1,10,1,0.11,40,733,153399
45,7,1,11,1,0,40,1125,153399
46,7,1,12,1,0,40,99,153399
47,7,1,12,1,0.11,40,26,153399
48,7,1,12,1,0.12,40,73,153399
49,7,1,1,1,0,40,979,153399
50,7,1,1,1,0.11,40,294,153399
1,8,1,1,1,0,40,742,153399
2,8,1,1,1,0.11,40,376,153399
3,8,1,1,1,0.12,40,366,153399
4,8,1,2,1,0,40,475,153399
5,8,1,2,1,0.11,40,241,153399
6,8,1,2,1,0.12,40,234,153399
7,8,1,4,1,0,40,475,153399
8,8,1,4,1,0.11,40,241,153399
9,8,1,4,1,0.12,40,234,153399
10,8,1,5,1,0,40,42,153399
11,8,1,5,1,0.11,40,32,153399
12,8,1,5,1,0.12,40,10,153399
13,8,1,6,1,0,40,225,153399
14,8,1,6,1,0.11,40,103,153399
15,8,1,6,1,0.12,40,122,153399
16,8,1,7,1,0,40,78,153399
17,8,1,7,1,0.11,40,56,153399
18,8,1,7,1,0.12,40,22,153399
19,8,1,8,1,0,40,400,153399
20,8,1,10,1,0,40,2325,153399
21,8,1,10,1,0.11,40,857,153399
22,8,1,10,1,0.12,40,1468,153399
23,8,1,11,1,0,40,2039,153399
24,8,1,11,1,0.11,40,738,153399
25,8,1,11,1,0.12,40,1301,153399
26,8,1,1,1,0,40,609,153399
27,8,1,1,1,0.11,40,285,153399
28,8,1,1,1,0.12,40,324,153399
29,8,1,2,1,0,40,403,153399
30,8,1,2,1,0.11,40,200,153399
31,8,1,2,1,0.12,40,203,153399
32,8,1,4,1,0,40,403,153399
33,8,1,4,1,0.11,40,200,153399
34,8,1,4,1,0.12,40,203,153399
35,8,1,5,1,0,40,31,153399
36,8,1,5,1,0.11,40,17,153399
37,8,1,5,1,0.12,40,14,153399
38,8,1,6,1,0,40,175,153399
39,8,1,6,1,0.11,40,68,153399
40,8,1,6,1,0.12,40,107,153399
41,8,1,7,1,0,40,31,153399
42,8,1,7,1,0.11,40,17,153399
43,8,1,7,1,0.12,40,14,153399
44,8,1,10,1,0.11,40,733,153399
45,8,1,11,1,0,40,1125,153399
46,8,1,12,1,0,40,99,153399
47,8,1,12,1,0.11,40,26,153399
48,8,1,12,1,0.12,40,73,153399
49,8,1,1,1,0,40,979,153399
50,8,1,1,1,0.11,40,294,153399
1,9,1,1,1,0,40,742,153399
2,9,1,1,1,0.11,40,376,153399
3,9,1,1,1,0.12,40,366,153399
4,9,1,2,1,0,40,475,153399
5,9,1,2,1,0.11,40,241,153399
6,9,1,2,1,0.12,40,234,153399
7,9,1,4,1,0,40,475,153399
8,9,1,4,1,0.11,40,241,153399
9,9,1,4,1,0.12,40,234,153399
10,9,1,5,1,0,40,42,153399
