"commune","canton","departement","territoire_de_projet"
"corrano","zicavo","corse-du-sud","taravo / valinco / sartenais"
"cuttoli-corticchiato","celavo-mezzana","corse-du-sud","pays ajaccien"
"ghisoni","ghisoni","haute-corse","plaine orientale"
"l'ile-rousse","l'ile-rousse","haute-corse","pays de balagne"
"moncale","calenzana","haute-corse","pays de balagne"
"noceta","vezzani","haute-corse","centre corse"
"piedigriggio","niolu-omessa","haute-corse","centre corse"
"piedipartino","orezza-alesani","haute-corse","castagniccia / mare e monti"
"quasquara","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"velone-orneto","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"vivario","venaco","haute-corse","centre corse"
"zoza","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"arbori","les deux-sorru","corse-du-sud","ouest corse"
"avapessa","belgodere","haute-corse","pays de balagne"
"casalta","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"castirla","niolu-omessa","haute-corse","centre corse"
"cateri","belgodere","haute-corse","pays de balagne"
"giocatojo","fiumalto-d'ampugnani","haute-corse","castagniccia / mare e monti"
"monte","alto-di-casaconi","haute-corse","pays bastiais"
"morosaglia","castifao-morosaglia","haute-corse","centre corse"
"olmeta-di-tuda","la conca-d'oro","haute-corse","pays bastiais"
"patrimonio","la conca-d'oro","haute-corse","pays bastiais"
"pietra-di-verde","moita-verde","haute-corse","plaine orientale"
"pino","capobianco","haute-corse","pays bastiais"
"saliceto","castifao-morosaglia","haute-corse","centre corse"
"san-lorenzo","bustanico","haute-corse","centre corse"
"sorio","le haut-nebbio","haute-corse","pays bastiais"
"tomino","capobianco","haute-corse","pays bastiais"
"ucciani","celavo-mezzana","corse-du-sud","pays ajaccien"
"urtaca","le haut-nebbio","haute-corse","pays de balagne"
"vallica","belgodere","haute-corse","pays de balagne"
"barrettali","capobianco","haute-corse","pays bastiais"
"bastelica","bastelica","corse-du-sud","pays ajaccien"
"carticasi","bustanico","haute-corse","centre corse"
"figari","figari","corse-du-sud","extreme sud / alta rocca"
"lavatoggio","belgodere","haute-corse","pays de balagne"
"pianottoli-caldarello","figari","corse-du-sud","extreme sud / alta rocca"
"pila-canale","santa-maria-siche","corse-du-sud","taravo / valinco / sartenais"
"poggio-di-nazza","ghisoni","haute-corse","plaine orientale"
"sainte-lucie-de-tallano","tallano-scopamene","corse-du-sud","extreme sud / alta rocca"
"san-nicolao","campoloro-di-moriani","haute-corse","castagniccia / mare e monti"
"albitreccia","santa-maria-siche","corse-du-sud","pays ajaccien"
"balogna","les deux-sorru","corse-du-sud","ouest corse"
