"id","date","territoire","volume_eau_brute"
279,2011,"sud-est",4755224
280,2010,"marana",2659993
281,2015,"linguizetta",1340876
282,2014,"marana",3453977
283,2009,"porto vecchio muratello",34213
284,2008,"casinca",2880028
285,2012,"marana",3515560
286,2013,"nebbiu",154184
287,2005,"rogliano",249
288,2009,"haut-tavignano",1758262
289,2009,"mignataja",391592
290,2009,"bravone",1126543
291,2010,"nebbiu",60137
292,2011,"porto vecchio muratello",28688
293,2011,"haut tavaro",141041
294,2013,"bravone",1162697
295,2015,"prunelli arghiaccia",1928691
296,2015,"haut-tavignano",2320438
297,2016,"haut tavaro",44111
298,2015,"ortolo",223703
299,2016,"prunelli arghiaccia",1675718
300,2017,"marana",3425058
