"ANNREF","CANTON","CANTON_MOD","CANTON_LIB","RA_3010_DIM2","RA_3010_DIM2_MOD","RA_3010_DIM2_LIB","RA_3010_DIM3","RA_3010_DIM3_MOD","RA_3010_DIM3_LIB","N118","N118_MOD","N118_LIB","N027","N027_MOD","N027_LIB","VALEUR","QUALITE","�..NOM"
2000,"CANTON","2A02","Bastelica","Cheptel",6,"Bovins de moins d'un an","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",10.01,"Exploitation",10,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",6,"Bovins de moins d'un an","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",40,"Cheptel",122,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",7,"Total Equidés","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",27,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",7,"Total Equidés","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",78,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",7,"Total Equidés","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",10.01,"Exploitation",17,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",7,"Total Equidés","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.11,"Petites exploitations","Groupe d'indicateurs",40,"Cheptel",56,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",7,"Total Equidés","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",10.01,"Exploitation",10,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",7,"Total Equidés","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0.12,"Moyennes et grandes exploitations","Groupe d'indicateurs",40,"Cheptel",22,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",8,"Chèvres","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",10.01,"Exploitation",9,"OUI","RA_3010"
2000,"CANTON","2A02","Bastelica","Cheptel",8,"Chèvres","Taille du troupeau",1,"Ensemble","Classe d'importance de l'exploitation",0,"Ensemble des exploitations (hors pacages collectifs)","Groupe d'indicateurs",40,"Cheptel",400,"OUI","RA_3010"
